id,name,withholding_id/id,tax_id/id,base_type,tax_base_id/id
w1,RETENCION IVA BIENES 10%,withholding_odoo.1,l10n_ec_acc.1_retSaleIVA1,T,l10n_ec_acc.1_saleiva5
w2,RETENCION IVA SERVICIO 20%,withholding_odoo.1,l10n_ec_acc.1_retSaleIVA2,T,l10n_ec_acc.1_saleiva6
w3,RETENCION IVA BIENES 30%,withholding_odoo.1,l10n_ec_acc.1_retSaleIVA3,T,l10n_ec_acc.1_saleiva5
w4,RETENCION IVA SERVICIO 70%,withholding_odoo.1,l10n_ec_acc.1_retSaleIVA4,T,l10n_ec_acc.1_saleiva6
w5,RETENCION IVA SERVICIO HONORARIOS 100%,withholding_odoo.1,l10n_ec_acc.1_retSaleIVA5,T,l10n_ec_acc.1_saleiva6
w6,RETENCION IVA BIENES 10%,withholding_odoo.2,l10n_ec_acc.1_retpurchaseiva1,T,l10n_ec_acc.1_purchaseiva5
w7,RETENCION IVA SERVICIO 20%,withholding_odoo.2,l10n_ec_acc.1_retpurchaseiva2,T,l10n_ec_acc.1_purchaseiva6
w8,RETENCION IVA BIENES 30%,withholding_odoo.2,l10n_ec_acc.1_retpurchaseiva3,T,l10n_ec_acc.1_purchaseiva5
w9,RETENCION IVA SERVICIO 70%,withholding_odoo.2,l10n_ec_acc.1_retpurchaseiva4,T,l10n_ec_acc.1_purchaseiva6
w10,RETENCION IVA SERVICIO HONORARIOS 100%,withholding_odoo.2,l10n_ec_acc.1_retpurchaseiva5,T,l10n_ec_acc.1_purchaseiva6
w11,RETENCION 10% Renta	Compra 303,withholding_odoo.4,l10n_ec_acc.1_retrentp1,L,
w12,RETENCION 8% Renta Compra 304,withholding_odoo.4,l10n_ec_acc.1_retrentp2,L,
w13,RETENCION 2% Renta Compra 307,withholding_odoo.4,l10n_ec_acc.1_retrentp3,L,
w14,RETENCION 10% Renta	Compra 308,withholding_odoo.4,l10n_ec_acc.1_retrentp1,L,
w15,RETENCION 1.75% Renta Compra 309,withholding_odoo.4,l10n_ec_acc.1_retrentp4,L,
w16,RETENCION 1% Renta Compra 310,withholding_odoo.4,l10n_ec_acc.1_retrentp5,L,
w17,RETENCION 1.75% Renta Compra 312,withholding_odoo.4,l10n_ec_acc.1_retrentp4,L,
w18,RETENCION 1% Renta Compra 343,withholding_odoo.4,l10n_ec_acc.1_retrentp5,L,
w19,RETENCION 8% Renta Compra 320,withholding_odoo.4,l10n_ec_acc.1_retrentp2,L,
w20,RETENCION 1.75% Renta Compra 322,withholding_odoo.4,l10n_ec_acc.1_retrentp4,L,
w21,RETENCION 0% Renta Compra 332,withholding_odoo.4,l10n_ec_acc.1_retrentp6,L,
w22,RETENCION 2.75% Renta Compra 3440,withholding_odoo.4,l10n_ec_acc.1_retrentp8,L,
w23,RETENCION 1.75% Renta Compra 319,withholding_odoo.4,l10n_ec_acc.1_retrentp4,L,
w24,RETENCION 25% Renta Compra 421,withholding_odoo.4,l10n_ec_acc.1_retrentp12,L,
w25,RETENCION 10% Renta	Venta 303,withholding_odoo.3,l10n_ec_acc.1_retrents1,L,
w26,RETENCION 8% Renta Venta 304,withholding_odoo.3,l10n_ec_acc.1_retrents2,L,
w27,RETENCION 2% Renta Venta 307,withholding_odoo.3,l10n_ec_acc.1_retrents3,L,
w28,RETENCION 10% Renta	Venta 308,withholding_odoo.3,l10n_ec_acc.1_retrents1,L,
w29,RETENCION 1.75% Renta Venta 309,withholding_odoo.3,l10n_ec_acc.1_retrents4,L,
w30,RETENCION 1% Renta Venta 310,withholding_odoo.3,l10n_ec_acc.1_retrents5,L,
w31,RETENCION 1.75% Renta Venta 312,withholding_odoo.3,l10n_ec_acc.1_retrents4,L,
w32,RETENCION 1% Renta Venta 343,withholding_odoo.3,l10n_ec_acc.1_retrents5,L,
w33,RETENCION 8% Renta Venta 320,withholding_odoo.3,l10n_ec_acc.1_retrents2,L,
w34,RETENCION 1.75% Renta Venta 322,withholding_odoo.3,l10n_ec_acc.1_retrents4,L,
w35,RETENCION 0% Renta Venta 332,withholding_odoo.3,l10n_ec_acc.1_retrents6,L,
w36,RETENCION 2.75% Renta Venta 3440,withholding_odoo.3,l10n_ec_acc.1_retrents8,L,
w37,RETENCION 1.75% Renta Venta 319,withholding_odoo.3,l10n_ec_acc.1_retrents4,L,
w38,RETENCION 25% Renta Venta 421,withholding_odoo.3,l10n_ec_acc.1_retrents12,L,
w39,RETENCION 2% Renta Compra 344A,withholding_odoo.4,l10n_ec_acc.1_retrentp3,L,
w40,RETENCION 8% Renta Compra 345,withholding_odoo.4,l10n_ec_acc.1_retrentp2,L,
w41,RETENCION 0% Renta Compra 332I,withholding_odoo.4,l10n_ec_acc.1_retrentp6,L,
w42,RETENCION 0% Renta Compra 332G,withholding_odoo.4,l10n_ec_acc.1_retrentp6,L,
w43,RETENCION 1% Renta Compra 312A,withholding_odoo.4,l10n_ec_acc.1_retrentp5,L,
w44,RETENCION 2% Renta Compra 311,withholding_odoo.4,l10n_ec_acc.1_retrentp3,L,
w45,RETENCION 8% Renta Compra 314,withholding_odoo.4,l10n_ec_acc.1_retrentp2,L,
w46,RETENCION 1% Renta Compra 322,withholding_odoo.4,l10n_ec_acc.1_retrentp5,L,
w47,RETENCION 2% Renta Compra 323,withholding_odoo.4,l10n_ec_acc.1_retrentp3,L,
w48,RETENCION 25% Renta Compra 325,withholding_odoo.4,l10n_ec_acc.1_retrentp3,L,
w49,RETENCION 25% Renta Compra 327,withholding_odoo.4,l10n_ec_acc.1_retrentp12,L,
w50,RETENCION 0% Renta Compra 328,withholding_odoo.4,l10n_ec_acc.1_retrentp6,L,
w51,RETENCION 10% Renta Compra 333,withholding_odoo.4,l10n_ec_acc.1_retrentp1,L,
w52,RETENCION 1% Renta Compra 334,withholding_odoo.4,l10n_ec_acc.1_retrentp5,L,
w53,RETENCION 0% Renta Compra 427,withholding_odoo.4,l10n_ec_acc.1_retrentp6,L,
w54,RETENCION 1.75% Renta Compra 351,withholding_odoo.4,l10n_ec_acc.1_retrentp4,L,
w55,RETENCION 2% Renta Ventas 344A,withholding_odoo.3,l10n_ec_acc.1_retrents3,L,
w56,RETENCION 8% Renta Ventas 345,withholding_odoo.3,l10n_ec_acc.1_retrents2,L,
w57,RETENCION 0% Renta Ventas 332I,withholding_odoo.3,l10n_ec_acc.1_retrents6,L,
w58,RETENCION 0% Renta Ventas 332G,withholding_odoo.3,l10n_ec_acc.1_retrents6,L,
w59,RETENCION 1% Renta Ventas 312A,withholding_odoo.3,l10n_ec_acc.1_retrents5,L,
w60,RETENCION 2% Renta Ventas 311,withholding_odoo.3,l10n_ec_acc.1_retrents3,L,
w61,RETENCION 8% Renta Ventas 314,withholding_odoo.3,l10n_ec_acc.1_retrents2,L,
w62,RETENCION 1% Renta Ventas 322,withholding_odoo.3,l10n_ec_acc.1_retrents5,L,
w63,RETENCION 2% Renta Ventas 323,withholding_odoo.3,l10n_ec_acc.1_retrents3,L,
w64,RETENCION 25% Renta Ventas 325,withholding_odoo.3,l10n_ec_acc.1_retrents3,L,
w65,RETENCION 25% Renta Ventas 327,withholding_odoo.3,l10n_ec_acc.1_retrents12,L,
w66,RETENCION 0% Renta Ventas 328,withholding_odoo.3,l10n_ec_acc.1_retrents6,L,
w67,RETENCION 10% Renta Ventas 333,withholding_odoo.3,l10n_ec_acc.1_retrents1,L,
w68,RETENCION 1% Renta Ventas 334,withholding_odoo.3,l10n_ec_acc.1_retrents5,L,
w69,RETENCION 0% Renta Ventas 427,withholding_odoo.3,l10n_ec_acc.1_retrents6,L,
w70,RETENCION 1.75% Renta Ventas 351,withholding_odoo.3,l10n_ec_acc.1_retrents4,L,
